Time (secs),A/C Tail Number,A/C Type,City Pair - To,City Pair - From,Flight Number,Date - Day,Date - Month,UTC - Hour,UTC - Minute,UTC - Second,Air / Gnd,Ground Speed,Computed Airspeed,Mach (derived),Pitch Angle,Roll Angle,Altitude (1013.25mB),Selected Baro Setting Capt,Present Pos - Latitude,Present Pos - Longitude,Magnetic Heading,True Heading,Fuel Flow Eng 1,Fuel Flow Eng 2,Actual Gross Weight,Total Air Temp,Drift Angle,Wind Direction True,Wind Speed,EGT Eng 1,EGT Eng 2,_EPR Actual Eng 1,_EPR Actual Eng 2,N1 Actual Eng 1,N1 Actual Eng 2,N2 Actual Eng 1,N2 Actual Eng 2,Throttle Angle Eng 1,Throttle Angle Eng 2,Pack 1 Flow Ctl Valve,Pack 2 Flow Ctl Valve,Gear (left),Land Gear Squat Switch - Nose,Flap Handle (derived),Flap Angle,Reverser Deployed Eng 1,Reverser Deployed Eng 2,Left Spoiler 1 Out,Right Spoiler 1 Out,Spoiler Pos LH 2,Spoiler Pos LH 4,Spoiler Pos LH 5,Spoiler Pos RH 2,Spoiler Pos RH 3,Spoiler Pos RH 5,Speed Brake Command
0.000,,*A319 (5),,*EFHK,*FIN9RY  ,*16,,*17,,,*G - Gnd (7),*0,*0.0,*0.00,*D 0.35,*L 1.1,*272,,*N60 05.06,,*38.7,*45.4,*0,*457,,,,*0.0,*0,*163,*504,*1.895,*0.225,*0.0,*19.4,*0.0,*60.3,*-2.8,*-2.8,*F/CLSD (0),*F/CLSD (0),*Gear down - ground (3),*Gnd (1),*0.0,*0.0,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,*NOTCMD (0)
0.250,,,,,,,,,,,,,,,*D 0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500,,,,,,,,,,,,,,,*D 0.35,*L 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
0.750,,,,,,,,,,,,,,,*D 0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000,*.OH-LVB,,*EFOU,,,,*6,,,,*G - Gnd (7),*0,*0.0,,*D 0.35,*L 1.1,*272,*1009,,,*38.7,*45.4,*0,*410,,*23.8,,,,*164,*506,*1.893,*0.164,*0.0,*19.8,*0.5,*60.9,*-2.8,*-2.8,,,*Gear down - ground (3),*Gnd (1),,,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,
1.250,,,,,,,,,,,,,,,*D 0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.500,,,,,,,,,,,,,,,*D 0.35,*L 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
1.750,,,,,,,,,,,,,,,*D 0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000,,,,,,,,,,,*G - Gnd (7),*0,*0.0,,*D 0.35,*L 1.1,*272,,,*E024 57.04,*38.7,*45.4,*0,*341,*0,,*0.00,,,*163,*501,*1.893,*0.152,*0.0,*19.6,*1.9,*60.9,*-2.8,*-2.8,*F/CLSD (0),*F/CLSD (0),*Gear down - ground (3),*Gnd (1),*0.0,*0.0,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,
2.250,,,,,,,,,,,,,,,*D 0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.500,,,,,,,,,,,,,,,*D 0.35,*L 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
2.750,,,,,,,,,,,,,,,*D 0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.000,,,,,,,,,*51,*42,*G - Gnd (7),*0,*0.0,,*D 0.35,*L 1.1,*272,,,,*38.7,*45.4,*0,*328,,*23.8,,,,*163,*496,*1.875,*0.154,*0.0,*19.6,*3.8,*60.8,*-2.8,*-2.8,,,*Gear down - ground (3),*Gnd (1),,,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,
