Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear_up
450.0,.OH-LXF,A321 (1),146.6,0.21,2.11,-0.4,236,3399,3428,61124,17.8,-0.09,717,725,1.115,1.1,83.6,83.5,95.6,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6827.0,0,0,1,0,0,0,1,0,0,0,1,0,0
450.25,.OH-LXF,A321 (1),146.6,0.21,2.46,-0.4,236,3399,3428,61124,17.8,-0.09,717,725,1.115,1.1,83.6,83.5,95.6,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6827.0,0,0,1,0,0,0,1,0,0,0,1,0,0
450.5,.OH-LXF,A321 (1),146.6,0.21,3.16,-0.7,236,3399,3428,61124,17.8,-0.09,717,725,1.115,1.1,83.6,83.5,95.6,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6827.0,0,0,1,0,0,0,1,0,0,0,1,0,0
450.75,.OH-LXF,A321 (1),146.6,0.21,3.87,-0.7,236,3399,3428,61124,17.8,-0.09,717,725,1.115,1.1,83.6,83.5,95.6,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6827.0,0,0,1,0,0,0,1,0,0,0,1,0,0
451.0,.OH-LXF,A321 (1),148.4,0.21,4.57,-0.4,216,3392,3438,61124,18.0,-0.09,717,726,1.115,1.104,83.6,83.6,95.6,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6830.0,0,0,1,0,0,0,1,0,0,0,1,0,0
451.25,.OH-LXF,A321 (1),148.4,0.21,5.27,-0.4,216,3392,3438,61124,18.0,-0.09,717,726,1.115,1.104,83.6,83.6,95.6,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6830.0,0,0,1,0,0,0,1,0,0,0,1,0,0
451.5,.OH-LXF,A321 (1),148.4,0.21,5.98,-0.4,216,3392,3438,61124,18.0,-0.09,717,726,1.115,1.104,83.6,83.6,95.6,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6830.0,0,0,1,0,0,0,1,0,0,0,1,0,0
451.75,.OH-LXF,A321 (1),148.4,0.21,7.03,-0.4,216,3392,3438,61124,18.0,-0.09,717,726,1.115,1.104,83.6,83.6,95.6,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6830.0,0,0,1,0,0,0,1,0,0,0,1,0,0
452.0,.OH-LXF,A321 (1),150.6,0.23,7.38,-0.4,200,3398,3434,61124,18.0,-0.09,719,727,1.119,1.102,83.5,83.6,95.6,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6832.0,0,0,1,0,0,0,1,0,0,0,1,0,0
452.25,.OH-LXF,A321 (1),150.6,0.23,8.09,-0.4,200,3398,3434,61124,18.0,-0.09,719,727,1.119,1.102,83.5,83.6,95.6,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6832.0,0,0,1,0,0,0,1,0,0,0,1,0,0
