Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear_up
384.0,.OH-LXF,A321 (1),137.4,0.21,1.41,-0.4,212,4043,4058,57305,18.3,0.26,749,757,1.23,1.223,89.1,89.1,98.0,98.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8101.0,0,0,1,0,0,0,1,0,0,0,1,0,0
384.25,.OH-LXF,A321 (1),137.4,0.21,1.76,-0.4,212,4043,4058,57305,18.3,0.26,749,757,1.23,1.223,89.1,89.1,98.0,98.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8101.0,0,0,1,0,0,0,1,0,0,0,1,0,0
384.5,.OH-LXF,A321 (1),137.4,0.21,2.46,-0.4,212,4043,4058,57305,18.3,0.26,749,757,1.23,1.223,89.1,89.1,98.0,98.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8101.0,0,0,1,0,0,0,1,0,0,0,1,0,0
384.75,.OH-LXF,A321 (1),137.4,0.21,2.81,-0.4,212,4043,4058,57305,18.3,0.26,749,757,1.23,1.223,89.1,89.1,98.0,98.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8101.0,0,0,1,0,0,0,1,0,0,0,1,0,0
385.0,.OH-LXF,A321 (1),141.9,0.21,3.52,0.0,200,4051,4029,57305,18.8,0.26,751,759,1.232,1.223,89.1,89.1,98.0,98.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8080.0,0,0,1,0,0,0,1,0,0,0,1,0,0
385.25,.OH-LXF,A321 (1),141.9,0.21,4.22,0.0,200,4051,4029,57305,18.8,0.26,751,759,1.232,1.223,89.1,89.1,98.0,98.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8080.0,0,0,1,0,0,0,1,0,0,0,1,0,0
385.5,.OH-LXF,A321 (1),141.9,0.21,4.92,0.0,200,4051,4029,57305,18.8,0.26,751,759,1.232,1.223,89.1,89.1,98.0,98.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8080.0,0,0,1,0,0,0,1,0,0,0,1,0,0
385.75,.OH-LXF,A321 (1),141.9,0.21,5.63,0.0,200,4051,4029,57305,18.8,0.26,751,759,1.232,1.223,89.1,89.1,98.0,98.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8080.0,0,0,1,0,0,0,1,0,0,0,1,0,0
386.0,.OH-LXF,A321 (1),141.8,0.21,6.33,-0.4,184,4065,4078,57305,18.8,0.53,752,761,1.232,1.229,89.1,89.1,98.0,98.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,8143.0,0,0,1,0,0,0,1,0,0,0,1,0,0
386.25,.OH-LXF,A321 (1),141.8,0.21,7.03,-0.4,184,4065,4078,57305,18.8,0.53,752,761,1.232,1.229,89.1,89.1,98.0,98.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,8143.0,0,0,1,0,0,0,1,0,0,0,1,0,0
