Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear_up
415.0,.OH-LXF,A321 (1),139.3,0.19,1.41,0.0,288,3361,3374,57793,22.5,0.0,717,726,1.098,1.088,83.9,83.9,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6735.0,0,0,1,0,0,0,1,0,0,0,1,0,0
415.25,.OH-LXF,A321 (1),139.3,0.19,1.76,0.0,288,3361,3374,57793,22.5,0.0,717,726,1.098,1.088,83.9,83.9,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6735.0,0,0,1,0,0,0,1,0,0,0,1,0,0
415.5,.OH-LXF,A321 (1),139.3,0.19,2.11,-0.4,288,3361,3374,57793,22.5,0.0,717,726,1.098,1.088,83.9,83.9,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6735.0,0,0,1,0,0,0,1,0,0,0,1,0,0
415.75,.OH-LXF,A321 (1),139.3,0.19,2.81,-0.4,288,3361,3374,57793,22.5,0.0,717,726,1.098,1.088,83.9,83.9,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6735.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.0,.OH-LXF,A321 (1),139.9,0.21,3.52,0.0,272,3365,3383,57793,22.5,0.0,718,727,1.098,1.088,83.9,84.0,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6748.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.25,.OH-LXF,A321 (1),139.9,0.21,3.87,0.0,272,3365,3383,57793,22.5,0.0,718,727,1.098,1.088,83.9,84.0,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6748.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.5,.OH-LXF,A321 (1),139.9,0.21,4.57,0.0,272,3365,3383,57793,22.5,0.0,718,727,1.098,1.088,83.9,84.0,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6748.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.75,.OH-LXF,A321 (1),139.9,0.21,4.92,0.0,272,3365,3383,57793,22.5,0.0,718,727,1.098,1.088,83.9,84.0,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6748.0,0,0,1,0,0,0,1,0,0,0,1,0,0
417.0,.OH-LXF,A321 (1),143.5,0.21,5.27,0.0,256,3356,3376,57793,23.0,0.0,719,728,1.1,1.088,83.9,83.9,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6732.0,0,0,1,0,0,0,1,0,0,0,1,0,0
417.25,.OH-LXF,A321 (1),143.5,0.21,5.98,0.0,256,3356,3376,57793,23.0,0.0,719,728,1.1,1.088,83.9,83.9,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6732.0,0,0,1,0,0,0,1,0,0,0,1,0,0
417.5,.OH-LXF,A321 (1),143.5,0.21,6.68,0.0,256,3356,3376,57793,23.0,0.0,719,728,1.1,1.088,83.9,83.9,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6732.0,0,0,1,0,0,0,1,0,0,0,1,0,0
