Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear in transit (6),Gear_up
438.0,.OH-LXF,A321 (1),146.4,0.21,2.46,0.0,236,3516,3521,61323,19.5,0.62,719,729,1.133,1.119,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7037.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
438.25,.OH-LXF,A321 (1),146.4,0.21,3.16,0.0,236,3516,3521,61323,19.5,0.62,719,729,1.133,1.119,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7037.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
438.5,.OH-LXF,A321 (1),146.4,0.21,3.87,0.4,236,3516,3521,61323,19.5,0.62,719,729,1.133,1.119,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7037.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
438.75,.OH-LXF,A321 (1),146.4,0.21,4.57,0.4,236,3516,3521,61323,19.5,0.62,719,729,1.133,1.119,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7037.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
439.0,.OH-LXF,A321 (1),146.8,0.21,5.27,0.4,220,3525,3554,61323,19.8,0.62,720,729,1.131,1.121,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7079.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
439.25,.OH-LXF,A321 (1),146.8,0.21,5.98,0.4,220,3525,3554,61323,19.8,0.62,720,729,1.131,1.121,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7079.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
439.5,.OH-LXF,A321 (1),146.8,0.21,7.03,0.4,220,3525,3554,61323,19.8,0.62,720,729,1.131,1.121,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7079.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
439.75,.OH-LXF,A321 (1),146.8,0.21,7.73,0.4,220,3525,3554,61323,19.8,0.62,720,729,1.131,1.121,85.3,85.1,96.5,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7079.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
440.0,.OH-LXF,A321 (1),148.5,0.23,8.79,0.7,208,3501,3545,61323,19.8,0.62,720,730,1.131,1.123,85.1,85.3,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7046.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
440.25,.OH-LXF,A321 (1),148.5,0.23,9.14,0.7,208,3501,3545,61323,19.8,0.62,720,730,1.131,1.123,85.1,85.3,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,7046.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
