Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear_up
368.0,.OH-LXL,A321 (1),142.3,0.22,1.76,0.0,208,3982,4078,59133,15.5,0.09,749,750,1.229,1.211,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8060.0,0,0,1,0,0,0,1,0,0,0,1,0,0
368.25,.OH-LXL,A321 (1),142.3,0.22,2.11,0.0,208,3982,4078,59133,15.5,0.09,749,750,1.229,1.211,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8060.0,0,0,1,0,0,0,1,0,0,0,1,0,0
368.5,.OH-LXL,A321 (1),142.3,0.22,2.46,0.0,208,3982,4078,59133,15.5,0.09,749,750,1.229,1.211,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8060.0,0,0,1,0,0,0,1,0,0,0,1,0,0
368.75,.OH-LXL,A321 (1),142.3,0.22,2.81,0.0,208,3982,4078,59133,15.5,0.09,749,750,1.229,1.211,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8060.0,0,0,1,0,0,0,1,0,0,0,1,0,0
369.0,.OH-LXL,A321 (1),145.5,0.22,3.52,0.0,200,3996,4083,59133,16.0,0.09,751,751,1.23,1.211,88.6,88.6,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8079.0,0,0,1,0,0,0,1,0,0,0,1,0,0
369.25,.OH-LXL,A321 (1),145.5,0.22,4.22,0.0,200,3996,4083,59133,16.0,0.09,751,751,1.23,1.211,88.6,88.6,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8079.0,0,0,1,0,0,0,1,0,0,0,1,0,0
369.5,.OH-LXL,A321 (1),145.5,0.22,4.92,0.0,200,3996,4083,59133,16.0,0.09,751,751,1.23,1.211,88.6,88.6,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8079.0,0,0,1,0,0,0,1,0,0,0,1,0,0
369.75,.OH-LXL,A321 (1),145.5,0.22,5.63,0.0,200,3996,4083,59133,16.0,0.09,751,751,1.23,1.211,88.6,88.6,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8079.0,0,0,1,0,0,0,1,0,0,0,1,0,0
370.0,.OH-LXL,A321 (1),146.3,0.22,6.68,0.0,180,3998,4085,59115,16.0,0.53,752,751,1.23,1.211,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8083.0,0,0,1,0,0,0,1,0,0,0,1,0,0
370.25,.OH-LXL,A321 (1),146.3,0.22,7.38,0.0,180,3998,4085,59115,16.0,0.53,752,751,1.23,1.211,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8083.0,0,0,1,0,0,0,1,0,0,0,1,0,0
370.5,.OH-LXL,A321 (1),146.3,0.22,8.09,0.4,180,3998,4085,59115,16.0,0.53,752,751,1.23,1.211,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8083.0,0,0,1,0,0,0,1,0,0,0,1,0,0
370.75,.OH-LXL,A321 (1),146.3,0.22,8.79,0.4,180,3998,4085,59115,16.0,0.53,752,751,1.23,1.211,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8083.0,0,0,1,0,0,0,1,0,0,0,1,0,0
371.0,.OH-LXL,A321 (1),151.9,0.22,9.49,0.7,176,4031,4094,59115,16.3,0.53,754,752,1.232,1.213,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8125.0,1,0,0,0,1,0,0,0,0,1,0,0,0
371.25,.OH-LXL,A321 (1),151.9,0.22,9.84,0.7,176,4031,4094,59115,16.3,0.53,754,752,1.232,1.213,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8125.0,1,0,0,0,1,0,0,0,0,1,0,0,0
371.5,.OH-LXL,A321 (1),151.9,0.22,10.55,1.1,176,4031,4094,59115,16.3,0.53,754,752,1.232,1.213,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8125.0,1,0,0,0,1,0,0,0,0,1,0,0,0
371.75,.OH-LXL,A321 (1),151.9,0.22,10.9,1.1,176,4031,4094,59115,16.3,0.53,754,752,1.232,1.213,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8125.0,1,0,0,0,1,0,0,0,0,1,0,0,0
372.0,.OH-LXL,A321 (1),153.6,0.23,11.25,1.4,196,4036,4096,59115,16.3,0.53,755,753,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8132.0,1,0,0,0,1,0,0,0,0,0,0,1,0
372.25,.OH-LXL,A321 (1),153.6,0.23,11.25,1.4,196,4036,4096,59115,16.3,0.53,755,753,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8132.0,1,0,0,0,1,0,0,0,0,0,0,1,0
372.5,.OH-LXL,A321 (1),153.6,0.23,11.95,1.1,196,4036,4096,59115,16.3,0.53,755,753,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8132.0,1,0,0,0,1,0,0,0,0,0,0,1,0
372.75,.OH-LXL,A321 (1),153.6,0.23,12.3,1.1,196,4036,4096,59115,16.3,0.53,755,753,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8132.0,1,0,0,0,1,0,0,0,0,0,0,1,0
373.0,.OH-LXL,A321 (1),156.3,0.23,12.66,0.4,228,4005,4091,59115,16.5,0.53,756,754,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8096.0,1,0,0,0,1,0,0,0,0,0,0,1,0
373.25,.OH-LXL,A321 (1),156.3,0.23,13.01,0.4,228,4005,4091,59115,16.5,0.53,756,754,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8096.0,1,0,0,0,1,0,0,0,0,0,0,1,0
373.5,.OH-LXL,A321 (1),156.3,0.23,13.36,0.4,228,4005,4091,59115,16.5,0.53,756,754,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8096.0,1,0,0,0,1,0,0,0,0,0,0,1,0
373.75,.OH-LXL,A321 (1),156.3,0.23,13.71,0.4,228,4005,4091,59115,16.5,0.53,756,754,1.232,1.213,88.8,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8096.0,1,0,0,0,1,0,0,0,0,0,0,1,0
374.0,.OH-LXL,A321 (1),159.9,0.23,14.06,0.7,256,4003,4098,59115,16.5,1.05,757,754,1.234,1.211,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8101.0,1,0,0,0,1,0,0,0,0,0,0,1,0
374.25,.OH-LXL,A321 (1),159.9,0.23,14.06,0.7,256,4003,4098,59115,16.5,1.05,757,754,1.234,1.211,88.6,88.8,97.1,97.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8101.0,1,0,0,0,1,0,0,0,0,0,0,1,0
