Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear_up
404.0,.OH-LXL,A321 (1),168.1,0.25,2.46,-0.7,164,3459,3550,66083,26.3,-0.26,746,742,1.123,1.102,85.1,85.4,96.8,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7009.0,0,0,1,0,0,0,1,0,0,1,0,0
404.25,.OH-LXL,A321 (1),168.1,0.25,3.16,-0.7,164,3459,3550,66083,26.3,-0.26,746,742,1.123,1.102,85.1,85.4,96.8,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7009.0,0,0,1,0,0,0,1,0,0,1,0,0
404.5,.OH-LXL,A321 (1),168.1,0.25,3.52,-0.7,164,3459,3550,66083,26.3,-0.26,746,742,1.123,1.102,85.1,85.4,96.8,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7009.0,0,0,1,0,0,0,1,0,0,1,0,0
404.75,.OH-LXL,A321 (1),168.1,0.25,4.22,-0.7,164,3459,3550,66083,26.3,-0.26,746,742,1.123,1.102,85.1,85.4,96.8,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7009.0,0,0,1,0,0,0,1,0,0,1,0,0
405.0,.OH-LXL,A321 (1),171.0,0.25,4.92,-1.1,144,3488,3561,66083,26.8,-0.26,747,744,1.127,1.104,85.1,85.1,96.9,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7049.0,0,0,1,0,0,0,1,0,0,1,0,0
405.25,.OH-LXL,A321 (1),171.0,0.25,5.63,-1.1,144,3488,3561,66083,26.8,-0.26,747,744,1.127,1.104,85.1,85.1,96.9,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7049.0,0,0,1,0,0,0,1,0,0,1,0,0
405.5,.OH-LXL,A321 (1),171.0,0.25,5.98,-0.7,144,3488,3561,66083,26.8,-0.26,747,744,1.127,1.104,85.1,85.1,96.9,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7049.0,0,0,1,0,0,0,1,0,0,1,0,0
405.75,.OH-LXL,A321 (1),171.0,0.25,6.68,-0.7,144,3488,3561,66083,26.8,-0.26,747,744,1.127,1.104,85.1,85.1,96.9,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7049.0,0,0,1,0,0,0,1,0,0,1,0,0
406.0,.OH-LXL,A321 (1),173.8,0.25,7.03,0.7,136,3510,3563,66083,26.8,-0.62,748,743,1.125,1.105,85.3,85.1,96.8,97.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.7,1.3,1.5,0,7073.0,0,1,0,0,0,1,0,0,0,1,0,0
406.25,.OH-LXL,A321 (1),173.8,0.25,7.73,0.7,136,3510,3563,66083,26.8,-0.62,748,743,1.125,1.105,85.3,85.1,96.8,97.0,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.7,1.3,1.5,0,7073.0,0,1,0,0,0,1,0,0,0,1,0,0
