Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear in transit (6),Gear_up
515.0,.OH-LXD,? (6),144.9,0.21,1.41,-0.7,248,3423,3454,61974,22.0,-0.44,717,710,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6877.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
515.25,.OH-LXD,? (6),144.9,0.21,1.76,-0.7,248,3423,3454,61974,22.0,-0.44,717,710,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6877.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
515.5,.OH-LXD,? (6),144.9,0.21,2.11,-0.7,248,3423,3454,61974,22.0,-0.44,717,710,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6877.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
515.75,.OH-LXD,? (6),144.9,0.21,2.46,-0.7,248,3423,3454,61974,22.0,-0.44,717,710,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6877.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
516.0,.OH-LXD,? (6),150.4,0.23,2.81,-0.7,232,3423,3456,61974,22.0,-0.44,718,711,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
516.25,.OH-LXD,? (6),150.4,0.23,3.52,-0.7,232,3423,3456,61974,22.0,-0.44,718,711,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
516.5,.OH-LXD,? (6),150.4,0.23,4.22,-0.7,232,3423,3456,61974,22.0,-0.44,718,711,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
516.75,.OH-LXD,? (6),150.4,0.23,4.57,-0.7,232,3423,3456,61974,22.0,-0.44,718,711,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
517.0,.OH-LXD,? (6),152.1,0.23,5.27,-0.7,216,3432,3454,61974,22.3,-0.44,719,713,0.0,0.0,84.8,84.8,96.6,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6886.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
517.25,.OH-LXD,? (6),152.1,0.23,5.98,-0.7,216,3432,3454,61974,22.3,-0.44,719,713,0.0,0.0,84.8,84.8,96.6,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6886.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
517.5,.OH-LXD,? (6),152.1,0.23,6.33,-0.4,216,3432,3454,61974,22.3,-0.44,719,713,0.0,0.0,84.8,84.8,96.6,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6886.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
517.75,.OH-LXD,? (6),152.1,0.23,7.03,-0.4,216,3432,3454,61974,22.3,-0.44,719,713,0.0,0.0,84.8,84.8,96.6,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6886.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
518.0,.OH-LXD,? (6),153.0,0.23,7.38,-0.4,208,3441,3450,61956,22.3,-0.53,719,713,0.0,0.0,84.8,84.8,96.5,96.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6891.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
