Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_3,Gnd_7,Air.1,Gnd_3.1,Gnd_7.1,Gear_down_air,Gear_down_ground,Gear in transit (6),Gear_up
349.0,.OH-LXD,? (6),151.3,0.23,3.87,0.0,188.0,3423.0,3456.0,61468.0,15.8,-0.18,695.0,692.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,1,0,0,1,0,0,1,0,0
349.25,.OH-LXD,? (6),151.3,0.23,4.57,0.0,188.0,3423.0,3456.0,61468.0,15.8,-0.18,695.0,692.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,1,0,0,1,0,0,1,0,0
349.5,.OH-LXD,? (6),151.3,0.23,4.92,0.0,188.0,3423.0,3456.0,61468.0,15.8,-0.18,695.0,692.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,1,0,0,1,0,0,1,0,0
349.75,.OH-LXD,? (6),151.3,0.23,5.27,0.0,188.0,3423.0,3456.0,61468.0,15.8,-0.18,695.0,692.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6879.0,0,1,0,0,1,0,0,1,0,0
350.0,.OH-LXD,? (6),154.8,0.23,5.63,0.7,176.0,3443.0,3457.0,61450.0,15.8,1.05,696.0,693.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6900.0,0,1,0,0,1,0,0,1,0,0
350.25,.OH-LXD,? (6),154.8,0.23,5.98,0.7,176.0,3443.0,3457.0,61450.0,15.8,1.05,696.0,693.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6900.0,0,1,0,0,1,0,0,1,0,0
350.5,.OH-LXD,? (6),154.8,0.23,6.33,1.4,176.0,3443.0,3457.0,61450.0,15.8,1.05,696.0,693.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6900.0,0,1,0,0,1,0,0,1,0,0
350.75,.OH-LXD,? (6),154.8,0.23,6.68,1.4,176.0,3443.0,3457.0,61450.0,15.8,1.05,696.0,693.0,0.0,0.0,84.5,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6900.0,0,1,0,0,1,0,0,1,0,0
351.0,.OH-LXD,? (6),153.0,0.23,7.03,0.7,180.0,3450.0,3467.0,61450.0,16.0,1.05,697.0,695.0,0.0,0.0,84.6,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6917.0,1,0,0,1,0,0,1,0,0,0
351.25,.OH-LXD,? (6),153.0,0.23,7.38,0.7,180.0,3450.0,3467.0,61450.0,16.0,1.05,697.0,695.0,0.0,0.0,84.6,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6917.0,1,0,0,1,0,0,1,0,0,0
351.5,.OH-LXD,? (6),153.0,0.23,7.73,-0.4,180.0,3450.0,3467.0,61450.0,16.0,1.05,697.0,695.0,0.0,0.0,84.6,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6917.0,1,0,0,1,0,0,1,0,0,0
351.75,.OH-LXD,? (6),153.0,0.23,8.44,-0.4,180.0,3450.0,3467.0,61450.0,16.0,1.05,697.0,695.0,0.0,0.0,84.6,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6917.0,1,0,0,1,0,0,1,0,0,0
352.0,.OH-LXD,? (6),158.4,0.24,8.79,-1.4,200.0,3448.0,3476.0,61450.0,16.0,1.05,698.0,695.0,0.0,0.0,84.6,84.6,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6924.0,1,0,0,1,0,0,1,0,0,0
352.25,.OH-LXD,? (6),158.4,0.24,9.49,-1.4,200.0,3448.0,3476.0,61450.0,16.0,1.05,698.0,695.0,0.0,0.0,84.6,84.6,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6924.0,1,0,0,1,0,0,1,0,0,0
352.5,.OH-LXD,? (6),158.4,0.24,10.2,-0.7,200.0,3448.0,3476.0,61450.0,16.0,1.05,698.0,695.0,0.0,0.0,84.6,84.6,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6924.0,1,0,0,1,0,0,1,0,0,0
352.75,.OH-LXD,? (6),158.4,0.24,10.55,-0.7,200.0,3448.0,3476.0,61450.0,16.0,1.05,698.0,695.0,0.0,0.0,84.6,84.6,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6924.0,1,0,0,1,0,0,1,0,0,0
353.0,.OH-LXD,? (6),161.4,0.24,11.25,0.0,220.0,3454.0,3467.0,61450.0,16.0,1.05,698.0,696.0,0.0,0.0,84.6,84.6,95.9,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.3,0,6921.0,1,0,0,1,0,0,1,0,0,0
353.25,.OH-LXD,? (6),161.4,0.24,11.6,0.0,220.0,3454.0,3467.0,61450.0,16.0,1.05,698.0,696.0,0.0,0.0,84.6,84.6,95.9,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.3,0,6921.0,1,0,0,1,0,0,1,0,0,0
353.5,.OH-LXD,? (6),161.4,0.24,11.95,0.4,220.0,3454.0,3467.0,61450.0,16.0,1.05,698.0,696.0,0.0,0.0,84.6,84.6,95.9,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.3,0,6921.0,1,0,0,1,0,0,1,0,0,0
353.75,.OH-LXD,? (6),161.4,0.24,12.3,0.4,220.0,3454.0,3467.0,61450.0,16.0,1.05,698.0,696.0,0.0,0.0,84.6,84.6,95.9,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.3,0,6921.0,1,0,0,1,0,0,1,0,0,0
354.0,.OH-LXD,? (6),161.4,0.24,12.66,0.0,256.0,3470.0,3477.0,61450.0,16.0,2.29,699.0,697.0,0.0,0.0,84.5,84.5,95.9,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.2,0,6947.0,1,0,0,1,0,0,1,0,0,0
354.25,.OH-LXD,? (6),161.4,0.24,13.01,0.0,256.0,3470.0,3477.0,61450.0,16.0,2.29,699.0,697.0,0.0,0.0,84.5,84.5,95.9,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.2,0,6947.0,1,0,0,1,0,0,1,0,0,0
354.5,.OH-LXD,? (6),161.4,0.24,13.36,0.7,256.0,3470.0,3477.0,61450.0,16.0,2.29,699.0,697.0,0.0,0.0,84.5,84.5,95.9,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.2,0,6947.0,1,0,0,1,0,0,1,0,0,0
354.75,.OH-LXD,? (6),161.4,0.24,13.36,0.7,256.0,3470.0,3477.0,61450.0,16.0,2.29,699.0,697.0,0.0,0.0,84.5,84.5,95.9,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.2,0,6947.0,1,0,0,1,0,0,1,0,0,0
355.0,.OH-LXD,? (6),163.9,0.24,13.71,1.1,288.0,3441.0,3468.0,61450.0,15.8,2.29,701.0,698.0,0.0,0.0,84.6,84.5,95.8,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6909.0,1,0,0,1,0,0,1,0,0,0
355.25,.OH-LXD,? (6),163.9,0.24,13.71,1.1,288.0,3441.0,3468.0,61450.0,15.8,2.29,701.0,698.0,0.0,0.0,84.6,84.5,95.8,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6909.0,1,0,0,1,0,0,1,0,0,0
355.5,.OH-LXD,? (6),163.9,0.24,14.06,-0.4,288.0,3441.0,3468.0,61450.0,15.8,2.29,701.0,698.0,0.0,0.0,84.6,84.5,95.8,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6909.0,1,0,0,1,0,0,1,0,0,0
355.75,.OH-LXD,? (6),163.9,0.24,14.06,-0.4,288.0,3441.0,3468.0,61450.0,15.8,2.29,701.0,698.0,0.0,0.0,84.6,84.5,95.8,95.8,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6909.0,1,0,0,1,0,0,1,0,0,0
356.0,.OH-LXD,? (6),163.9,0.25,14.06,-0.7,316.0,3457.0,3494.0,61450.0,15.8,2.29,700.0,699.0,0.0,0.0,84.6,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6951.0,1,0,0,1,0,0,0,0,0,1
356.25,.OH-LXD,? (6),163.9,0.25,14.41,-0.7,316.0,3457.0,3494.0,61450.0,15.8,2.29,700.0,699.0,0.0,0.0,84.6,84.5,95.8,95.9,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6951.0,1,0,0,1,0,0,0,0,0,1
