Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear_up
482.0,.OH-LXD,? (6),147.3,0.22,1.41,0.0,264,3488,3505,61884,23.3,0.44,721,712,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6993.0,0,0,1,0,0,0,1,0,0,0,1,0,0
482.25,.OH-LXD,? (6),147.3,0.22,1.76,0.0,264,3488,3505,61884,23.3,0.44,721,712,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6993.0,0,0,1,0,0,0,1,0,0,0,1,0,0
482.5,.OH-LXD,? (6),147.3,0.22,2.11,0.0,264,3488,3505,61884,23.3,0.44,721,712,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6993.0,0,0,1,0,0,0,1,0,0,0,1,0,0
482.75,.OH-LXD,? (6),147.3,0.22,2.11,0.0,264,3488,3505,61884,23.3,0.44,721,712,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6993.0,0,0,1,0,0,0,1,0,0,0,1,0,0
483.0,.OH-LXD,? (6),146.3,0.22,2.46,0.0,256,3492,3508,61884,23.5,0.44,722,713,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,7000.0,0,0,1,0,0,0,1,0,0,0,1,0,0
483.25,.OH-LXD,? (6),146.3,0.22,2.81,0.0,256,3492,3508,61884,23.5,0.44,722,713,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,7000.0,0,0,1,0,0,0,1,0,0,0,1,0,0
483.5,.OH-LXD,? (6),146.3,0.22,3.16,0.0,256,3492,3508,61884,23.5,0.44,722,713,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,7000.0,0,0,1,0,0,0,1,0,0,0,1,0,0
483.75,.OH-LXD,? (6),146.3,0.22,3.87,0.0,256,3492,3508,61884,23.5,0.44,722,713,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,7000.0,0,0,1,0,0,0,1,0,0,0,1,0,0
484.0,.OH-LXD,? (6),153.3,0.23,4.57,0.4,236,3492,3523,61884,23.5,0.44,723,715,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,7015.0,0,0,1,0,0,0,1,0,0,0,1,0,0
484.25,.OH-LXD,? (6),153.3,0.23,5.27,0.4,236,3492,3523,61884,23.5,0.44,723,715,0.0,0.0,85.6,85.6,97.0,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,7015.0,0,0,1,0,0,0,1,0,0,0,1,0,0
