Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear in transit (6),Gear_up
499.0,.OH-LXC,? (6),142.3,0.2,2.81,0.0,240,3363,3329,59875,18.5,-0.18,694,703,1.084,1.098,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6692.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
499.25,.OH-LXC,? (6),142.3,0.2,3.16,0.0,240,3363,3329,59875,18.5,-0.18,694,703,1.084,1.098,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6692.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
499.5,.OH-LXC,? (6),142.3,0.2,3.87,0.0,240,3363,3329,59875,18.5,-0.18,694,703,1.084,1.098,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6692.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
499.75,.OH-LXC,? (6),142.3,0.2,4.57,0.0,240,3363,3329,59875,18.5,-0.18,694,703,1.084,1.098,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6692.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
500.0,.OH-LXC,? (6),141.9,0.22,4.92,-0.4,224,3361,3343,59875,18.5,-0.18,694,704,1.086,1.1,83.3,83.5,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6704.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
500.25,.OH-LXC,? (6),141.9,0.22,5.63,-0.4,224,3361,3343,59875,18.5,-0.18,694,704,1.086,1.1,83.3,83.5,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6704.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
500.5,.OH-LXC,? (6),141.9,0.22,6.33,-0.4,224,3361,3343,59875,18.5,-0.18,694,704,1.086,1.1,83.3,83.5,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6704.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
500.75,.OH-LXC,? (6),141.9,0.22,7.03,-0.4,224,3361,3343,59875,18.5,-0.18,694,704,1.086,1.1,83.3,83.5,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6704.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
501.0,.OH-LXC,? (6),146.4,0.22,7.73,-0.4,208,3379,3338,59875,18.8,-0.18,696,706,1.086,1.102,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6717.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
501.25,.OH-LXC,? (6),146.4,0.22,8.09,-0.4,208,3379,3338,59875,18.8,-0.18,696,706,1.086,1.102,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6717.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
501.5,.OH-LXC,? (6),146.4,0.22,8.79,0.0,208,3379,3338,59875,18.8,-0.18,696,706,1.086,1.102,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6717.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
501.75,.OH-LXC,? (6),146.4,0.22,9.14,0.0,208,3379,3338,59875,18.8,-0.18,696,706,1.086,1.102,83.3,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6717.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
502.0,.OH-LXC,? (6),149.4,0.22,9.84,0.4,212,3363,3338,59875,18.8,0.18,696,706,1.088,1.102,83.4,83.5,95.5,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6701.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
502.25,.OH-LXC,? (6),149.4,0.22,10.2,0.4,212,3363,3338,59875,18.8,0.18,696,706,1.088,1.102,83.4,83.5,95.5,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6701.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
502.5,.OH-LXC,? (6),149.4,0.22,10.55,0.0,212,3363,3338,59875,18.8,0.18,696,706,1.088,1.102,83.4,83.5,95.5,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6701.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
