Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear_up
415.0,.OH-LXA,? (6),142.8,0.2,2.11,0.4,276,3535,3468,61305,23.3,0.44,706,703,1.115,1.109,86.3,86.4,97.1,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7003.0,0,0,1,0,0,0,1,0,0,0,1,0,0
415.25,.OH-LXA,? (6),142.8,0.2,2.81,0.4,276,3535,3468,61305,23.3,0.44,706,703,1.115,1.109,86.3,86.4,97.1,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7003.0,0,0,1,0,0,0,1,0,0,0,1,0,0
415.5,.OH-LXA,? (6),142.8,0.2,3.16,0.0,276,3535,3468,61305,23.3,0.44,706,703,1.115,1.109,86.3,86.4,97.1,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7003.0,0,0,1,0,0,0,1,0,0,0,1,0,0
415.75,.OH-LXA,? (6),142.8,0.2,3.87,0.0,276,3535,3468,61305,23.3,0.44,706,703,1.115,1.109,86.3,86.4,97.1,97.1,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7003.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.0,.OH-LXA,? (6),148.5,0.23,4.57,0.4,260,3545,3496,61305,23.3,0.44,708,704,1.117,1.111,86.3,86.3,97.3,97.3,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.2,0.3,0.2,0,7041.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.25,.OH-LXA,? (6),148.5,0.23,5.63,0.4,260,3545,3496,61305,23.3,0.44,708,704,1.117,1.111,86.3,86.3,97.3,97.3,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.2,0.3,0.2,0,7041.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.5,.OH-LXA,? (6),148.5,0.23,6.33,0.4,260,3545,3496,61305,23.3,0.44,708,704,1.117,1.111,86.3,86.3,97.3,97.3,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.2,0.3,0.2,0,7041.0,0,0,1,0,0,0,1,0,0,0,1,0,0
416.75,.OH-LXA,? (6),148.5,0.23,7.38,0.4,260,3545,3496,61305,23.3,0.44,708,704,1.117,1.111,86.3,86.3,97.3,97.3,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.2,0.3,0.2,0,7041.0,0,0,1,0,0,0,1,0,0,0,1,0,0
417.0,.OH-LXA,? (6),149.8,0.23,8.09,0.4,248,3541,3490,61305,23.5,0.44,710,706,1.119,1.113,86.4,86.3,97.1,97.3,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7031.0,0,0,1,0,0,0,1,0,0,0,1,0,0
417.25,.OH-LXA,? (6),149.8,0.23,9.14,0.4,248,3541,3490,61305,23.5,0.44,710,706,1.119,1.113,86.4,86.3,97.1,97.3,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7031.0,0,0,1,0,0,0,1,0,0,0,1,0,0
417.5,.OH-LXA,? (6),149.8,0.23,9.49,0.7,248,3541,3490,61305,23.5,0.44,710,706,1.119,1.113,86.4,86.3,97.1,97.3,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7031.0,0,0,1,0,0,0,1,0,0,0,1,0,0
