Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear in transit (6),Gear_up
474.0,.OH-LXA,? (6),141.1,0.21,2.11,-0.4,284,3349,3276,61178,21.3,-0.09,683,680,1.078,1.074,84.8,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6625.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
474.25,.OH-LXA,? (6),141.1,0.21,2.46,-0.4,284,3349,3276,61178,21.3,-0.09,683,680,1.078,1.074,84.8,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6625.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
474.5,.OH-LXA,? (6),141.1,0.21,2.81,-0.4,284,3349,3276,61178,21.3,-0.09,683,680,1.078,1.074,84.8,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6625.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
474.75,.OH-LXA,? (6),141.1,0.21,3.52,-0.4,284,3349,3276,61178,21.3,-0.09,683,680,1.078,1.074,84.8,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6625.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
475.0,.OH-LXA,? (6),143.0,0.21,4.22,-0.4,268,3350,3283,61178,21.8,-0.09,685,681,1.078,1.076,84.6,84.6,96.4,96.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6633.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
475.25,.OH-LXA,? (6),143.0,0.21,4.92,-0.4,268,3350,3283,61178,21.8,-0.09,685,681,1.078,1.076,84.6,84.6,96.4,96.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6633.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
475.5,.OH-LXA,? (6),143.0,0.21,5.27,-0.4,268,3350,3283,61178,21.8,-0.09,685,681,1.078,1.076,84.6,84.6,96.4,96.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6633.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
475.75,.OH-LXA,? (6),143.0,0.21,5.98,-0.4,268,3350,3283,61178,21.8,-0.09,685,681,1.078,1.076,84.6,84.6,96.4,96.4,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6633.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
476.0,.OH-LXA,? (6),144.8,0.22,6.68,-0.4,252,3347,3282,61178,21.8,-0.09,686,683,1.08,1.076,84.6,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6629.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
476.25,.OH-LXA,? (6),144.8,0.22,7.03,-0.4,252,3347,3282,61178,21.8,-0.09,686,683,1.08,1.076,84.6,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6629.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
476.5,.OH-LXA,? (6),144.8,0.22,7.38,-0.7,252,3347,3282,61178,21.8,-0.09,686,683,1.08,1.076,84.6,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6629.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
476.75,.OH-LXA,? (6),144.8,0.22,7.73,-0.7,252,3347,3282,61178,21.8,-0.09,686,683,1.08,1.076,84.6,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6629.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
477.0,.OH-LXA,? (6),146.3,0.22,8.09,-0.7,252,3356,3300,61178,22.0,-0.09,687,684,1.082,1.076,84.8,84.8,96.4,96.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6656.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
