Time_secs,Tail_Number,Type,Computed_Airspeed,Mach,Pitch_Angle,Roll_Angle,Altitude,Fuel_E1,Fuel_E2,Gross_Weight,T_Air_Temp,Drift_Angle,EGT_E1,EGT_E2,EPR_E1,EPR_E2,N1_E1,N1_E2,N2_E1,N2_E2,Throttle_Angle1,Throttle_Angle2,Pack_Flow_E1,Pack_Flow_E2,L_G_S_S_N,Flap_Handle,Flap_Angle,Left_Spoiler_1_Out,Right_Spoiler_1_Out,Spoiler_Pos_LH_2,Spoiler_Pos_LH_4,Spoiler_Pos_LH_5,Spoiler_Pos_RH_2,Spoiler_Pos_RH_3,Spoiler_Pos_RH_5,Speed_Brake,Fuel,Air,Gnd_1,Gnd_3,Gnd_7,Air.1,Gnd_1.1,Gnd_3.1,Gnd_7.1,Gear_7,Gear_down_air,Gear_down_ground,Gear_in_transit,Gear in transit (6),Gear_up
445.0,.OH-LXC,? (6),146.3,0.21,1.41,0.0,176,3298,3287,59278,18.0,-0.53,677,689,1.07,1.084,83.1,83.3,95.4,95.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6585.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
445.25,.OH-LXC,? (6),146.3,0.21,1.76,0.0,176,3298,3287,59278,18.0,-0.53,677,689,1.07,1.084,83.1,83.3,95.4,95.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6585.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
445.5,.OH-LXC,? (6),146.3,0.21,1.76,-0.4,176,3298,3287,59278,18.0,-0.53,677,689,1.07,1.084,83.1,83.3,95.4,95.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6585.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
445.75,.OH-LXC,? (6),146.3,0.21,2.11,-0.4,176,3298,3287,59278,18.0,-0.53,677,689,1.07,1.084,83.1,83.3,95.4,95.5,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6585.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
446.0,.OH-LXC,? (6),144.1,0.21,2.46,-0.4,164,3320,3303,59278,18.0,-0.7,678,690,1.07,1.086,83.3,83.3,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6623.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
446.25,.OH-LXC,? (6),144.1,0.21,2.81,-0.4,164,3320,3303,59278,18.0,-0.7,678,690,1.07,1.086,83.3,83.3,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6623.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
446.5,.OH-LXC,? (6),144.1,0.21,3.16,-0.4,164,3320,3303,59278,18.0,-0.7,678,690,1.07,1.086,83.3,83.3,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6623.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
446.75,.OH-LXC,? (6),144.1,0.21,3.87,-0.4,164,3320,3303,59278,18.0,-0.7,678,690,1.07,1.086,83.3,83.3,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6623.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
447.0,.OH-LXC,? (6),144.5,0.21,4.22,-0.7,144,3318,3314,59278,18.0,-0.7,680,692,1.072,1.086,83.1,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6632.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
447.25,.OH-LXC,? (6),144.5,0.21,4.92,-0.7,144,3318,3314,59278,18.0,-0.7,680,692,1.072,1.086,83.1,83.4,95.4,95.6,33.8,33.8,1,1,0,1.5,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6632.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
